"subject" "activity" "Domain" "Acceleration" "Instrument" "Jerk" "Magnitude" "Variable" "Axis" "count" "average"
6 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 51 -0.189984813956898
7 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 52 -0.723857064735047
7 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 48 -0.712354376735631
7 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 53 -0.725824852727621
7 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 57 -0.184567020446338
7 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 47 -0.164658253921528
7 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 51 -0.362851021783283
8 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 54 -0.722406520353446
8 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 46 -0.72745694109493
8 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 54 -0.735324128855415
8 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 48 -0.16056841343373
8 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 38 -0.00103612319688198
8 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 41 -0.146879782054871
9 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 50 -0.726146510489097
9 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 50 -0.704523755500333
9 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 45 -0.719415113824515
9 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 52 -0.286806225658878
9 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 42 -0.162548480947928
9 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 49 -0.352322249173958
10 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 58 -0.751454042087244
10 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 54 -0.73712845579557
10 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 44 -0.721542732014904
10 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 53 -0.207316119201447
10 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 38 -0.108732322835411
10 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 47 -0.214657479004489
11 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 57 -0.739250481303299
11 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 53 -0.730213416461106
11 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 47 -0.747503181881309
11 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 59 -0.379016958409591
11 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 46 -0.220718087092131
11 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 54 -0.370962843516591
12 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 60 -0.72760644728624
12 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 51 -0.727919507003818
12 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 61 -0.719351505561252
12 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 50 -0.256034499452433
12 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 46 -0.179277771565335
12 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 52 -0.354006222470134
13 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 62 -0.731168410513377
13 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 49 -0.735239423441511
13 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 57 -0.742391626905495
13 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 57 -0.210988794167055
13 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 47 -0.170802030677804
13 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 55 -0.330641118753785
14 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 51 -0.706780359580511
14 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 54 -0.730278809106672
14 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 60 -0.733750919831609
14 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 59 -0.288349500486322
14 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 45 0.00341910027488552
14 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 54 -0.111119139268373
15 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 72 -0.732694054370465
15 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 59 -0.733838697315558
15 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 53 -0.733951795404
15 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 54 -0.306114313281622
15 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 42 -0.114055542511411
15 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 48 -0.294341669544798
16 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 70 -0.743287358888657
16 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 69 -0.734763414612202
16 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 78 -0.744597444550344
16 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 51 -0.383138718688577
16 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 47 -0.21577265313244
16 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 51 -0.382992324573922
17 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 71 -0.731324690617382
17 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 64 -0.747004627057666
17 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 78 -0.753476669240357
17 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 61 -0.309280113929322
17 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 46 -0.233445826587078
17 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 48 -0.302507349895375
18 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 65 -0.746133039821382
18 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 57 -0.743850843467203
18 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 73 -0.744424330919073
18 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 56 -0.394478845416299
18 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 55 -0.377526737575512
18 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 58 -0.42646923228292
19 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 83 -0.742143249540819
19 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 73 -0.728175891288928
19 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 73 -0.73554803643265
19 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 52 -0.0739875703910806
19 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 39 0.154941520892261
19 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 40 -0.196891295749223
20 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 68 -0.737847526254904
20 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 66 -0.726102407642704
20 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 73 -0.703585407231564
20 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 51 -0.0954032717082775
20 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 45 -0.0458055951405788
20 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 51 -0.205762872215166
21 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 90 -0.729316795500066
21 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 85 -0.743125990670937
21 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 89 -0.740332493442983
21 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 52 -0.239612750488894
21 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 45 -0.139645365609202
21 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 47 -0.298692900152311
22 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 72 -0.718920180798411
22 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 62 -0.720164924412542
22 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 63 -0.726785296080127
22 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 46 -0.161843378710114
22 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 36 -0.147381918801591
22 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 42 -0.191712185339628
23 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 72 -0.738453366680006
23 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 68 -0.726113491116866
23 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 68 -0.735074230891955
23 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 59 -0.0969339947223061
23 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 54 -0.00547247287462682
23 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 51 -0.25943590535943
24 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 72 -0.738162801094621
24 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 68 -0.737144249115584
24 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 69 -0.734420049761199
24 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 58 -0.356957437224817
24 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 55 -0.241425533951455
24 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 59 -0.362618588027219
25 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 73 -0.6550466559966
25 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 65 -0.737614646951336
25 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 74 -0.739256665905592
25 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 74 -0.42015627084922
25 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 58 -0.345951992614543
25 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 65 -0.435418743421543
26 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 76 -0.744683873718817
26 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 78 -0.732209186814351
26 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 74 -0.740410224586124
26 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 59 -0.318740418835688
26 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 50 -0.175493103647397
26 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 55 -0.330337988544182
27 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 74 -0.747039773104429
27 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 70 -0.738607565821911
27 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 80 -0.743828559458429
27 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 57 -0.315300610673124
27 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 44 -0.180615867943192
27 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 51 -0.368009684288904
28 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 80 -0.749711337306598
28 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 72 -0.731041115599865
28 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 79 -0.712417065277087
28 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 54 -0.313871992811888
28 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 46 -0.139396563077246
28 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 51 -0.323401541369843
29 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 69 -0.747047283845479
29 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 60 -0.739022156685121
29 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 65 -0.746979641390065
29 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 53 -0.256846692509308
29 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 48 -0.178812689061223
29 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 49 -0.231956730511577
30 "LAYING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 70 -0.73371945664569
30 "SITTING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 62 -0.732058477455571
30 "STANDING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 59 -0.714291901922109
30 "WALKING" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 65 -0.267020565167016
30 "WALKING_DOWNSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 62 -0.217523391374438
30 "WALKING_UPSTAIRS" "Time" "NA" "Accelerometer" "NA" "NA" "Mean" "X" 65 -0.33891298828135
